lot,start_year,start_week,start_day,assyin_entity_code,original_entity_code,package_type,cust_assy_lot,start_date,flowtype,order_type,cust_code,package_code,product_no,original_start_qty,bom_no,bom_rev,last_oper,assy_pack_type,automotive_flag,wafer_size,die_used,size_type,cancel_flag,compound_stock
AIKER0014.1,2024,6,2,120,120,QFN,6516591.1,2/5/2024 19:00,B-A,E,ADI,GS-30P130018UAN,LT3077ACRC-ANZ,1000,ADI1382E,A,2024-AIK-02-G005,TRAY,N,8,1,75.6 X 80.7,,CZ0466
AIKER0015.1,2024,6,2,120,120,QFN,6526775.1,2/5/2024 19:00,B-A,E,ADI,GS-30P130018UAN,LT3077ACRC-ANZ,3000,ADI1382E,A,2024-AIK-02-G006,TRAY,N,8,1,75.6 X 80.7,,CZ0466
AIKER0019.1,2024,8,4,120,120,QFN,6543862.1,2/21/2024 19:00,B-A,E,ADI,GS-30P130018UAN,LT3077ACRC-ANZ,2927,ADI1382E,A,2024-AIK-03-G002,TRAY,N,8,1,75.6 X 80.7,,CZ0466
AIKER0020.1,2024,8,4,120,120,QFN,6544375.1,2/21/2024 19:00,B-A,E,ADI,GS-30P130018UAN,LT3077ACRC-ANZ,3000,ADI1382E,A,2024-AIK-03-G003,TRAY,N,8,1,75.6 X 80.7,,CZ0466
AIKER0021.1,2024,8,4,120,120,QFN,6539664.1,2/21/2024 19:00,B-A,E,ADI,GS-30P130018UAN,LT3077ACRC-ANZ,3000,ADI1382E,A,2024-AIK-03-G003,TRAY,N,8,1,75.6 X 80.7,,CZ0466
A5NER0010.1,2024,8,3,120,120,QFN,6543031.1,2/20/2024 19:00,B-A,E,ADI,GS-30P230016CAN,SAGUARO7-ABS060102-ENG-1-A,372,ADI1405E,A,2024-A5N-03-G001,CANISTER,N,8,"1,1","64.2 X 50.4,27.9 X 48.8",,CZ0466
A5NER0011.1,2024,8,3,120,120,QFN,6539665.1,2/20/2024 19:00,B-A,E,ADI,GS-30P230016CAN,SAGUARO7-ABS060102-ENG-1-A,310,ADI1405E,A,2024-A5N-03-G001,CANISTER,N,8,"1,1","64.2 X 50.4,27.9X48.8",,CZ0466
A5NER0012.1,2024,8,3,120,120,QFN,6539666.1,2/20/2024 19:00,B-A,E,ADI,GS-30P230016CAN,SAGUARO7-ABS060102-ENG-1-A,186,ADI1405E,A,2024-A5N-03-G003,CANISTER,N,8,"1,1","64.2 X 50.4,27.9X48.8",,CZ0466
A5NER0016.1,2024,9,3,120,120,QFN,6539668.1,2/27/2024 19:00,B-A,E,ADI,GS-30P230016CAN,SAGUARO7-ABS060102-ENG-1-A,310,ADI1405E,A,2024-A5N-03-G003,CANISTER,N,8,"1,1","64.2 X 50.4,27.9X48.8",,CZ0466
A5NER0013.1,2024,8,3,120,120,QFN,6539667.1,2/20/2024 19:00,B-A,E,ADI,GS-30P230016CAN,SAGUARO7-ABS060102-ENG-1-A,186,ADI1406E,A,2024-A5N-03-G003,CANISTER,N,8,"1,1","64.2 X 50.4,27.9 X 48.8",,CZ0466
