lot,start_year,start_week,start_day,assyin_entity_code,original_entity_code,package_type,cust_assy_lot,start_date,flowtype,order_type,cust_code,package_code,product_no,original_start_qty,bom_no,bom_rev,last_oper,assy_pack_type,automotive_flag,wafer_size,die_used,size_type,cancel_flag,compound_stock
ADNERJ668.1,2024,50,3,120,120,QFN,6802018.1,12/10/2024 19:00,B-A,E,ADI,GS-20P120008UAN,TC23_E7G-ABS058237-ENG-1-A,1464,ADI1626E,A,2024-ADN-12-G236,CANISTER,N,8,1,38.5 X 33.4,,CZ0466
A5NER0093.1,2024,50,3,120,120,QFN,6801713.1,12/10/2024 19:00,B-A,E,ADI,GS-20P120008UAN,TDD LNA-ABS063184-ENG-1-A,200,ADI1622E,A,2024-A5N-12-G004,CANISTER,N,8,1,61.4 X 44.4,,CZ0466
A5NER0091.1,2024,50,3,120,120,QFN,6801714.1,12/10/2024 19:00,B-A,E,ADI,GS-20P120008UAN,TDD LNA-ABS063185-ENG-2-A,200,ADI1622E,A,2024-A5N-12-G004,CANISTER,N,8,1,61.4 X 44.4,,CZ0466
A5NER0092.1,2024,50,3,120,120,QFN,6801715.1,12/10/2024 19:00,B-A,E,ADI,GS-20P120008UAN,TDD LNA-ABS063186-ENG-2-A,250,ADI1622E,A,2024-A5N-12-G004,CANISTER,N,8,1,61.4 X 44.4,,CZ0466
A5NER0090.1,2024,50,3,120,120,QFN,6801710.1,12/10/2024 19:00,B-A,E,ADI,GS-20P120008UAN,TDD LNA-ABS063188-ENG-2-A,250,ADI1622E,A,2024-A5N-12-G004,CANISTER,N,8,1,61.4 X 44.4,,CZ0466
A5NER0088.1,2024,50,3,120,120,QFN,6801711.1,12/10/2024 19:00,B-A,E,ADI,GS-20P120008UAN,TDD LNA-ABS063189-ENG-2-A,200,ADI1622E,A,2024-A5N-12-G004,CANISTER,N,8,1,61.4 X 44.4,,CZ0466
A5NER0089.1,2024,50,3,120,120,QFN,6801712.1,12/10/2024 19:00,B-A,E,ADI,GS-20P120008UAN,TDD LNA-ABS063190-ENG-2-A,200,ADI1622E,A,2024-A5N-12-G004,CANISTER,N,8,1,61.4 X 44.4,,CZ0466
A2AER0001.1,2024,50,6,120,120,QFN,6796191.1,12/13/2024 19:00,B-A,E,ADI,GS-30P130020CAN,ADRF5293-ABS063115-ENG-1-A,24,ADI1633E,A,2025-A2A-01-G001,CANISTER,N,8,1,45.9 X 55.5,,CZ0466
A2AER0002.1,2024,50,6,120,120,QFN,6796192.1,12/13/2024 19:00,B-A,E,ADI,GS-30P130020CAN,ADRF5293-ABS063116-ENG-1-A,55,ADI1633E,A,2025-A2A-01-G001,CANISTER,N,8,1,45.9X55.5,,CZ0466
A2AER0003.1,2024,50,6,120,120,QFN,6796193.1,12/13/2024 19:00,B-A,E,ADI,GS-30P130020CAN,ADRF5293-ABS063117-ENG-1-A,86,ADI1633E,A,2025-A2A-01-G001,CANISTER,N,8,1,45.9X55.5,,CZ0466
A2AER0004.1,2024,50,6,120,120,QFN,6796194.1,12/13/2024 19:00,B-A,E,ADI,GS-30P130020CAN,ADRF5293-ABS063118-ENG-1-A,179,ADI1633E,A,2025-A2A-01-G001,CANISTER,N,8,1,45.9X55.5,,CZ0466
ADNFRJ786.1,2024,50,6,120,120,QFN,6793719.1,12/13/2024 19:00,B-A,F,ADI,GS-50P250032UAN,ADL6337ACRC-A0BZ,10080,ADI6537P,B,2024-ADN-12-G227,TRAY,N,8,"1,1","109.00 X 61.00,27.2 X 46.8",,CZ0466
ADNFRJ786.3,2024,50,6,120,120,QFN,6793719.1,12/13/2024 19:00,B-A,F,ADI,GS-50P250032UAN,ADL6337ACRC-A0BZ,9928,ADI6537P,B,2024-ADN-12-G227,TRAY,N,8,"1,1","109.00 X 61.00,27.2 X 46.8",,CZ0466
ADNFRJ786.2,2024,50,6,120,120,QFN,6793719.1,12/13/2024 19:00,B-A,F,ADI,GS-50P250032UAN,ADL6337ACRC-A0BZ,10080,ADI6537P,B,2024-ADN-12-G227,TRAY,N,8,"1,1","109.00 X 61.00,27.2 X 46.8",,CZ0466
ADNFRJ787.1,2024,50,7,120,120,QFN,6787041.1,12/14/2024 19:00,B-A,F,ADI,GS-50P250032UAN,ADL6337ACRC-A0BZ,10080,ADI6537P,B,2024-ADN-12-G229,TRAY,N,8,"1,1","109.00 X 61.00,27.2 X 46.8",,CZ0466
ADNFRJ787.2,2024,50,7,120,120,QFN,6787041.1,12/14/2024 19:00,B-A,F,ADI,GS-50P250032UAN,ADL6337ACRC-A0BZ,7689,ADI6537P,B,2024-ADN-12-G229,TRAY,N,8,"1,1","109.00 X 61.00,27.2 X 46.8",,CZ0466
ADNFRJ788.2,2024,50,7,120,120,QFN,6793723.1,12/14/2024 19:00,B-A,F,ADI,GS-50P250032UAN,ADL6337ACRC-A0BZ,14192,ADI6537P,B,2024-ADN-12-G227,TRAY,N,8,"1,1","109.00 X 61.00,27.2 X 46.8",,CZ0466
ADNFRJ788.1,2024,50,7,120,120,QFN,6793723.1,12/14/2024 19:00,B-A,F,ADI,GS-50P250032UAN,ADL6337ACRC-A0BZ,10080,ADI6537P,B,2024-ADN-12-G227,TRAY,N,8,"1,1","109.00 X 61.00,27.2 X 46.8",,CZ0466
ADNFRJ789.1,2024,51,1,120,120,QFN,6793721.1,12/14/2024 20:00,B-A,F,ADI,GS-50P250032UAN,ADL6337ACRC-A0BZ,10080,ADI6537P,B,2024-ADN-12-G227,TRAY,N,8,"1,1","109.00 X 61.00,27.2 X 46.8",,CZ0466
ADNFRJ789.3,2024,51,1,120,120,QFN,6793721.1,12/14/2024 20:00,B-A,F,ADI,GS-50P250032UAN,ADL6337ACRC-A0BZ,9842,ADI6537P,B,2024-ADN-12-G227,TRAY,N,8,"1,1","109.00 X 61.00,27.2 X 46.8",,CZ0466
ADNFRJ789.2,2024,51,1,120,120,QFN,6793721.1,12/14/2024 20:00,B-A,F,ADI,GS-50P250032UAN,ADL6337ACRC-A0BZ,10080,ADI6537P,B,2024-ADN-12-G227,TRAY,N,8,"1,1","109.00 X 61.00,27.2 X 46.8",,CZ0466
ADNFRK103.2,2024,51,3,120,120,QFN,6806479.1,12/17/2024 19:00,B-A,F,ADI,GS-50P250032UAN,ADL6337ACRC-A0BZ,7511,ADI6537P,B,2024-ADN-12-G264,TRAY,N,8,"1,1","109.00 X 61.00,27.2 X 46.8",,CZ0466
ADNFRK103.1,2024,51,3,120,120,QFN,6806479.1,12/17/2024 19:00,B-A,F,ADI,GS-50P250032UAN,ADL6337ACRC-A0BZ,10080,ADI6537P,B,2024-ADN-12-G264,TRAY,N,8,"1,1","109.00 X 61.00,27.2 X 46.8",,CZ0466
ADNFRK104.1,2024,51,4,120,120,QFN,6806477.1,12/18/2024 19:00,B-A,F,ADI,GS-50P250032UAN,ADL6337ACRC-A0BZ,10080,ADI6537P,B,2024-ADN-12-G270,TRAY,N,8,"1,1","109.00 X 61.00,27.2 X 46.8",,CZ0466
ADNFRK104.2,2024,51,4,120,120,QFN,6806477.1,12/18/2024 19:00,B-A,F,ADI,GS-50P250032UAN,ADL6337ACRC-A0BZ,10080,ADI6537P,B,2024-ADN-12-G270,TRAY,N,8,"1,1","109.00 X 61.00,27.2 X 46.8",,CZ0466
ADNFRK104.3,2024,51,4,120,120,QFN,6806477.1,12/18/2024 19:00,B-A,F,ADI,GS-50P250032UAN,ADL6337ACRC-A0BZ,9840,ADI6537P,B,2024-ADN-12-G270,TRAY,N,8,"1,1","109.00 X 61.00,27.2 X 46.8",,CZ0466
ADNFRK105.1,2024,51,5,120,120,QFN,6806481.1,12/19/2024 19:00,B-A,F,ADI,GS-50P250032UAN,ADL6337ACRC-A0BZ,10080,ADI6537P,B,2024-ADN-12-G270,TRAY,N,8,"1,1","109.00 X 61.00,27.2 X 46.8",,CZ0466
ADNFRK105.2,2024,51,5,120,120,QFN,6806481.1,12/19/2024 19:00,B-A,F,ADI,GS-50P250032UAN,ADL6337ACRC-A0BZ,10080,ADI6537P,B,2024-ADN-12-G270,TRAY,N,8,"1,1","109.00 X 61.00,27.2 X 46.8",,CZ0466
ADNFRK105.3,2024,51,5,120,120,QFN,6806481.1,12/19/2024 19:00,B-A,F,ADI,GS-50P250032UAN,ADL6337ACRC-A0BZ,10080,ADI6537P,B,2024-ADN-12-G270,TRAY,N,8,"1,1","109.00 X 61.00,27.2 X 46.8",,CZ0466
ADNFRK105.4,2024,51,5,120,120,QFN,6806481.1,12/19/2024 19:00,B-A,F,ADI,GS-50P250032UAN,ADL6337ACRC-A0BZ,5656,ADI6537P,B,2024-ADN-12-G270,TRAY,N,8,"1,1","109.00 X 61.00,27.2 X 46.8",,CZ0466
