lot,start_year,start_week,start_day,assyin_entity_code,original_entity_code,package_type,cust_assy_lot,start_date,flowtype,order_type,cust_code,package_code,product_no,original_start_qty,bom_no,bom_rev,last_oper,assy_pack_type,automotive_flag,wafer_size,die_used,size_type,cancel_flag,compound_stock
ADNPR2022.1,2024,7,1,140,140,QFN,6537276.1,2/11/2024 19:00,B-A,P,ADI,TD-200E200B003A,LT6660H-25CCPC-A0Z,20261,ADI5140P,A,2024-ADN-02-G168,CANISTER,N,6,1,30.00 X 35.00,,CZ0141
ADNPR2023.1,2024,7,1,140,140,QFN,6537277.1,2/11/2024 19:00,B-A,P,ADI,TD-200E200B003A,LT6660H-25CCPC-A0Z,19776,ADI5140P,A,2024-ADN-02-G168,CANISTER,N,6,1,30.00 X 35.00,,CZ0141
ADNPR2777.1,2024,8,4,140,140,QFN,6541994.1,2/21/2024 19:00,B-A,P,ADI,TD-200E200B003A,LT6703-3ICPC-A0Z,36221,ADI5116P,A,2024-ADN-03-G020,CANISTER,N,6,1,32.00 X 58.00,,CZ0141
ADNPR2959.1,2024,9,1,140,140,QFN,6547633.1,2/25/2024 19:00,B-A,P,ADI,TD-200E200B003A,LT6703-3ICPC-A0Z,36403,ADI5116P,A,2024-ADN-03-G023,CANISTER,N,6,1,32.00 X 58.00,,CZ0141
ADNPR1468.1,2024,5,7,140,140,QFN,6525679.1,2/3/2024 19:00,B-A,P,ADI,TD-200E200B006K,LT3008-33ICPC-A0Z,15867,ADI5111P,B,2024-ADN-02-G097,CANISTER,N,6,1,26.00 X 54.00,,CZ0141
ADNPR3041.1,2024,9,3,140,140,QFN,6547670.1,2/27/2024 19:00,B-A,P,ADI,TD-200E200B006K,LT3008ICPC-A0Z,15943,ADI5019P,B,2024-ADN-03-G023,CANISTER,N,6,1,26.00 X 54.00,,CZ0141
A5PPR0258.1,2024,7,1,140,140,QFN,6537219.1,2/11/2024 19:00,B-A,P,ADI,TD-200E200B006K,LTC2450-1ICPC-A0Z,20901,ADI5280P,B,2024-A5P-02-G051,CANISTER,N,6,1,24.00 X 46.00,,CZ0141
ADNPR2012.1,2024,7,1,140,140,QFN,6537204.1,2/11/2024 19:00,B-A,P,ADI,TD-200E200B006K,LTC3025-2ECPC-A0Z,12181,ADI5003P,A,2024-ADN-02-G168,CANISTER,N,6,1,24.00 X 54.00,,CZ0141
ADNPR2967.1,2024,9,1,140,140,QFN,6547582.1,2/25/2024 19:00,B-A,P,ADI,TD-200E200B006K,LTC3025ECPC-A0Z,36111,ADI5124P,A,2024-ADN-03-G023,CANISTER,N,6,1,24.00 X 54.00,,CZ0141
ADNPR2993.1,2024,9,2,140,140,QFN,6547570.1,2/26/2024 19:00,B-A,P,ADI,TD-200E200B006K,LTC3526BECPC-A0Z,34212,ADI5014P,A,2024-ADN-03-G032,CANISTER,N,6,1,24.00 X 54.00,,CZ0141
ADNPR1648.1,2024,6,3,140,140,QFN,6525879.1,2/6/2024 19:00,B-A,P,ADI,TD-200E200B006K,LTC3526L-2ECPC-A0Z,34102,ADI5001P,A,2024-ADN-02-G115,CANISTER,N,6,1,24.00 X 54.00,,CZ0141
