lot,start_year,start_week,start_day,assyin_entity_code,original_entity_code,package_type,cust_assy_lot,start_date,flowtype,order_type,cust_code,package_code,product_no,original_start_qty,bom_no,bom_rev,last_oper,assy_pack_type,automotive_flag,wafer_size,die_used,size_type,cancel_flag,compound_stock
ADNPSD264.1,2025,30,3,140,140,QFN,7010033.1,07/22/2025 19:00:00,B-A,P,ADI,TD-200E200B003A,LT6660K-33CCPC-A0Z,41345,ADI5680P,A,2025-ADN-08-G004,CANISTER,N,6,1,30.00 X 35.00,,CZ0141
ADNPSD761.1,2025,31,3,140,140,QFN,7025965.1,07/29/2025 19:00:00,B-A,P,ADI,TD-200E200B003A,LT6703-3ICPC-A0Z,12258,ADI5116P,A,SEAL-GREEN,CANISTER,N,6,1,32.00 X 58.00,,CZ0141
ADNPSD066.1,2025,29,6,140,140,QFN,7017802.1,07/18/2025 19:00:00,B-A,P,ADI,TD-200E200B006K,LT3008-33ECPC-A0Z,59068,ADI7179P,B,2025-ADN-07-G380,CANISTER,N,6,1,26.00 X 54.00,,CZ0141
ADNPSD112.1,2025,29,7,140,140,QFN,7002840.1,07/19/2025 19:00:00,B-A,P,ADI,TD-200E200B006K,LT3008-33ECPC-A0Z,29124,ADI7179P,B,2025-ADN-07-G405,CANISTER,N,6,1,26.00 X 54.00,,CZ0141
ADNPSD192.1,2025,30,2,140,140,QFN,7017798.1,07/21/2025 19:00:00,B-A,P,ADI,TD-200E200B006K,LT3008-33ECPC-A0Z,14016,ADI7179P,B,2025-ADN-07-G418,CANISTER,N,6,1,26.00 X 54.00,,CZ0141
ADNPSC653.1,2025,28,7,140,140,QFN,7009983.1,07/12/2025 19:00:00,B-A,P,ADI,TD-200E200B006K,LT3009-33ECPC-A0Z,20101,ADI5036P,B,2025-ADN-07-G323,CANISTER,N,6,1,22.00 X 46.00,,CZ0141
ADNPSD240.1,2025,30,2,140,140,QFN,7028547.1,07/21/2025 19:00:00,B-A,P,ADI,TD-200E200B006K,LT3590ECPC-A0Z,21937,ADI5089P,B,2025-ADN-08-G004,CANISTER,N,6,1,22.00 X 46.00,,CZ0141
ADNPSC184.1,2025,28,1,140,140,QFN,7010103.1,07/06/2025 19:00:00,B-A,P,ADI,TD-200E200B006K,LTC3025-1ECPC-A0Z,53996,ADI4970P,A,2025-ADN-07-G190,CANISTER,N,6,1,24.00 X 54.00,,CZ0141
ADNPSD135.1,2025,29,7,140,140,QFN,7025764.1,07/19/2025 19:00:00,B-A,P,ADI,TD-200E200B006K,LTC3025-1ECPC-A0Z,17289,ADI4970P,A,2025-ADN-07-G408,CANISTER,N,6,1,24.00 X 54.00,,CZ0141
ADNPSD136.1,2025,29,7,140,140,QFN,7026061.1,07/19/2025 19:00:00,B-A,P,ADI,TD-200E200B006K,LTC3204-5ECPC-A0Z,16277,ADI5171P,A,2025-ADN-07-G405,CANISTER,N,6,1,24.00 X 54.00,,CZ0141
ADNPSD090.1,2025,29,7,140,140,QFN,6998818.1,07/19/2025 19:00:00,B-A,P,ADI,TD-200E200B006K,LTC3204B-5ECPC-AQZ,32742,ADI4969P,B,2025-ADN-07-G405,CANISTER,N,6,1,24.00 X 54.00,,CZ0141
ADNPSD596.1,2025,30,6,140,140,QFN,7026223.1,07/25/2025 19:00:00,B-A,P,ADI,TD-200E200B006K,LTC3221-5ECPC-A0Z,34597,ADI5136P,A,2025-ADN-08-G021,CANISTER,N,6,1,24.00 X 54.00,,CZ0141
ADNPSC959.1,2025,29,5,140,140,QFN,7002726.1,07/17/2025 19:00:00,B-A,P,ADI,TD-200E200B006K,LTC3526B-2ECPC-A0Z,16512,ADI5088P,A,2025-ADN-07-G394,CANISTER,N,6,1,24.00 X 54.00,,CZ0141
ADNPSC735.1,2025,29,2,140,140,QFN,7017649.1,07/14/2025 19:00:00,B-A,P,ADI,TD-200E200B006K,LTC3526LECPC-A0Z,17266,ADI5016P,B,2025-ADN-07-G344,CANISTER,N,6,1,24.00 X 54.00,,CZ0141
ADNPSC965.1,2025,29,5,140,140,QFN,7002721.1,07/17/2025 19:00:00,B-A,P,ADI,TD-200E200B006K,LTC3542ICPC-A0Z,17024,ADI5083P,A,2025-ADN-07-G380,CANISTER,N,6,1,24.00 X 54.00,,CZ0141
ADNPSB937.1,2025,27,4,140,140,QFN,7002674.1,07/02/2025 19:00:00,B-A,P,ADI,TD-200E200B006K,LTC5532ECPC-A0Z,63986,ADI5022P,A,2025-ADN-07-G145,CANISTER,N,6,1,24.00 X 44.00,,CZ0141
ADNPSC177.1,2025,28,1,140,140,QFN,7009997.1,07/06/2025 19:00:00,B-A,P,ADI,TD-200E200M008K,LT3060-33ECPC-A0Z,25575,ADI3668P,C,2025-ADN-07-G205,CANISTER,N,6,1,29.00 X 59.00,,CZ0141
ADNPSC472.1,2025,28,4,140,140,QFN,7009998.1,07/09/2025 19:00:00,B-A,P,ADI,TD-200E200M008K,LT3060ECPC-A0Z,24248,ADI3663P,C,2025-ADN-07-G252,CANISTER,N,6,1,29.00 X 59.00,,CZ0141
ADNPSD536.1,2025,30,5,140,140,QFN,7026191.1,07/24/2025 19:00:00,B-A,P,ADI,TD-200E200M008K,LT3060ECPC-A0Z,12072,ADI3663P,C,2025-ADN-08-G042,CANISTER,N,6,1,29.00 X 59.00,,CZ0141
ADNPSC057.1,2025,27,6,140,140,QFN,7002831.1,07/04/2025 19:00:00,B-A,P,ADI,TD-200E200M008K,LT3060ICPC-A0Z,23220,ADI3663P,C,2025-ADN-07-G209,CANISTER,N,6,1,29.00 X 59.00,,CZ0141
ADNPSC483.1,2025,28,5,140,140,QFN,7010014.1,07/10/2025 19:00:00,B-A,P,ADI,TD-200E200M008K,LT3483ECPC-A0Z,9776,ADI3710P,A,2025-ADN-07-G293,CANISTER,N,6,1,34.00 X 58.00,,CZ0141
ADNPSD669.2,2025,30,7,140,140,QFN,7029176.1,07/26/2025 19:00:00,B-A,P,ADI,TD-200E200M008K,LT3502AECPC-A0Z,41548,ADI3649P,B,SEAL-GREEN,CANISTER,N,6,1,25.00 X 54.00,,CZ0141
ADNPSD669.1,2025,30,7,140,140,QFN,7029176.1,07/26/2025 19:00:00,B-A,P,ADI,TD-200E200M008K,LT3502AECPC-A0Z,49400,ADI3649P,B,SINGULATE,CANISTER,N,6,1,25.00 X 54.00,,CZ0141
ADNPSD098.1,2025,29,7,140,140,QFN,7017769.1,07/19/2025 19:00:00,B-A,P,ADI,TD-200E200M008K,LT3502ECPC-A0Z,15978,ADI6454P,B,2025-ADN-07-G405,CANISTER,N,6,1,25.00 X 54.00,,CZ0141
ADNPSC647.1,2025,28,7,140,140,QFN,7017670.1,07/12/2025 19:00:00,B-A,P,ADI,TD-200E200M008K,LT8410ICPC-A0Z,34051,ADI6446P,A,2025-ADN-07-G316,CANISTER,N,6,1,34.00 X 55.00,,CZ0141
ADNPSC954.1,2025,29,5,140,140,QFN,7017674.1,07/17/2025 19:00:00,B-A,P,ADI,TD-200E200M008K,LT8410ICPC-A0Z,11141,ADI6446P,A,2025-ADN-07-G367,CANISTER,N,6,1,34.00 X 55.00,,CZ0141
ADNPSC114.2,2025,27,7,140,140,QFN,7002791.1,07/05/2025 19:00:00,B-A,P,ADI,TD-200E200M008K,LT8606ECPC-A1Z,72846,ADI6339P,B,2025-ADN-07-G313,CANISTER,N,8,1,44.3 X 56.3,,CZ0141
ADNPSC114.1,2025,27,7,140,140,QFN,7002791.1,07/05/2025 19:00:00,B-A,P,ADI,TD-200E200M008K,LT8606ECPC-A1Z,49400,ADI6339P,B,2025-ADN-07-G313,CANISTER,N,8,1,44.3 X 56.3,,CZ0141
ADNPSC113.1,2025,27,7,140,140,QFN,7002790.1,07/05/2025 19:00:00,B-A,P,ADI,TD-200E200M008K,LT8606ICPC-A1Z,35012,ADI6339P,B,2025-ADN-07-G267,CANISTER,N,8,1,44.3 X 56.3,,CZ0141
ADNPSC481.1,2025,28,5,140,140,QFN,7010096.1,07/10/2025 19:00:00,B-A,P,ADI,TD-200E200M008K,LTC2934-1CCPC-A0Z,16686,ADI7050P,A,2025-ADN-07-G289,CANISTER,N,6,1,23.00 X 54.00,,CZ0141
ADNPSD299.1,2025,30,3,140,140,QFN,7026046.1,07/22/2025 19:00:00,B-A,P,ADI,TD-200E200M008K,LTC2934-1ICPC-A0Z,16582,ADI7050P,A,2025-ADN-08-G004,CANISTER,N,6,1,23.00 X 54.00,,CZ0141
ADNPSD092.1,2025,29,7,140,140,QFN,7020488.1,07/19/2025 19:00:00,B-A,P,ADI,TD-200E200M008K,LTC4361-1HCPC-A0Z,16287,ADI3671P,A,2025-ADN-07-G405,CANISTER,N,6,1,27.00 X 52.00,,CZ0141
ADNPSC877.1,2025,29,4,140,140,QFN,7017650.1,07/16/2025 19:00:00,B-A,P,ADI,TD-200E200M008K,LTC6247ICPC-A0Z,28319,ADI3679P,A,2025-ADN-07-G367,CANISTER,N,8,1,28.00 X 52.00,,CZ0141
