lot,start_year,start_week,start_day,assyin_entity_code,original_entity_code,package_type,cust_assy_lot,start_date,flowtype,order_type,cust_code,package_code,product_no,original_start_qty,bom_no,bom_rev,last_oper,assy_pack_type,automotive_flag,wafer_size,die_used,size_type,cancel_flag,compound_stock
ADNPSA900.1,2025,25,1,140,140,QFN,6983445.1,06/14/2025 20:00:00,B-A,P,ADI,TD-200E200B003A,LT6660H-3CCPC-A0Z,20533,ADI4443P,A,2025-ADN-06-G339,CANISTER,N,6,1,,,CZ0141
ADNPSA360.1,2025,23,7,140,140,QFN,6963071.1,06/07/2025 19:00:00,B-A,P,ADI,TD-200E200B003A,LT6660K-5CCPC-A0Z,20491,ADI5311P,B,2025-ADN-06-G243,CANISTER,N,6,1,,,CZ0141
ADNPSB338.1,2025,26,2,140,140,QFN,6987105.1,06/23/2025 19:00:00,B-A,P,ADI,TD-200E200B006K,LT3008-18ECPC-A0Z,30429,ADI6735P,B,2025-ADN-06-G393,CANISTER,N,6,1,,,CZ0141
ADNPSA784.1,2025,24,7,140,140,QFN,6977946.1,06/14/2025 19:00:00,B-A,P,ADI,TD-200E200B006K,LT3008ECPC-A0Z,16147,ADI6874P,B,2025-ADN-06-G321,CANISTER,N,6,1,,,CZ0141
ADNPSA785.1,2025,24,7,140,140,QFN,6979782.1,06/14/2025 19:00:00,B-A,P,ADI,TD-200E200B006K,LT3008ECPC-A0Z,49400,ADI6874P,B,2025-ADN-06-G333,CANISTER,N,6,1,,,CZ0141
ADNPSA785.2,2025,24,7,140,140,QFN,6979782.1,06/14/2025 19:00:00,B-A,P,ADI,TD-200E200B006K,LT3008ECPC-A0Z,30562,ADI6874P,B,2025-ADN-06-G333,CANISTER,N,6,1,,,CZ0141
ADNPSB264.1,2025,25,7,140,140,QFN,6979781.1,06/21/2025 19:00:00,B-A,P,ADI,TD-200E200B006K,LT3008ECPC-A0Z,16085,ADI6874P,B,2025-ADN-06-G393,CANISTER,N,6,1,,,CZ0141
ADNPSA441.1,2025,24,2,140,140,QFN,6971345.1,06/09/2025 19:00:00,B-A,P,ADI,TD-200E200B006K,LT3009ICPC-A0Z,21176,ADI5112P,C,2025-ADN-06-G251,CANISTER,N,6,1,,,CZ0141
ADNPSA700.1,2025,24,5,140,140,QFN,6979813.1,06/12/2025 19:00:00,B-A,P,ADI,TD-200E200B006K,LT3590ECPC-A0Z,35247,ADI5089P,B,2025-ADN-06-G294,CANISTER,N,6,1,,,CZ0141
ADNPSA297.1,2025,23,6,140,140,QFN,6979914.1,06/06/2025 19:00:00,B-A,P,ADI,TD-200E200B006K,LTC3025-1ICPC-A0Z,68801,ADI4970P,A,2025-ADN-06-G217,CANISTER,N,6,1,,,CZ0141
ADNPSA874.1,2025,25,1,140,140,QFN,6987013.1,06/15/2025 19:00:00,B-A,P,ADI,TD-200E200B006K,LTC3025-1ICPC-A0Z,51550,ADI4970P,A,2025-ADN-06-G342,CANISTER,N,6,1,,,CZ0141
ADNPSA572.1,2025,24,3,140,140,QFN,6979921.1,06/10/2025 19:00:00,B-A,P,ADI,TD-200E200B006K,LTC3204B-5ECPC-A0Z,71468,ADI4969P,B,2025-ADN-06-G252,CANISTER,N,6,1,,,CZ0141
ADNPSB057.1,2025,25,4,140,140,QFN,6987004.1,06/18/2025 19:00:00,B-A,P,ADI,TD-200E200B006K,LTC3221-5ECPC-A0Z,17201,ADI5136P,A,2025-ADN-06-G379,CANISTER,N,6,1,,,CZ0141
ADNPSA779.1,2025,24,6,140,140,QFN,6986997.1,06/13/2025 19:00:00,B-A,P,ADI,TD-200E200B006K,LTC3526LBECPC-A0Z,68953,ADI5104P,A,2025-ADN-06-G300,CANISTER,N,6,1,,,CZ0141
ADNPSA742.1,2025,24,6,140,140,QFN,6979973.1,06/13/2025 19:00:00,B-A,P,ADI,TD-200E200B006K,LTC4065AECPC-A0Z,30285,ADI5031P,B,2025-ADN-06-G299,CANISTER,N,6,1,,,CZ0141
ADNPSA139.1,2025,23,4,140,140,QFN,6971175.1,06/04/2025 19:00:00,B-A,P,ADI,TD-200E200B006K,LTC6228HCPC-A0Z,45764,ADI4592P,B,2025-ADN-06-G201,CANISTER,N,8,1,,,CZ0141
ADNPSB140.1,2025,25,6,140,140,QFN,6987097.1,06/20/2025 19:00:00,B-A,P,ADI,TD-200E200M008K,LT3060-33ECPC-A0Z,12542,ADI3668P,C,2025-ADN-06-G393,CANISTER,N,6,1,,,CZ0141
ADNPSA620.1,2025,24,4,140,140,QFN,6979792.1,06/11/2025 19:00:00,B-A,P,ADI,TD-200E200M008K,LT3060ICPC-A0Z,49400,ADI3663P,C,2025-ADN-06-G278,CANISTER,N,6,1,,,CZ0141
ADNPSA620.2,2025,24,4,140,140,QFN,6979792.1,06/11/2025 19:00:00,B-A,P,ADI,TD-200E200M008K,LT3060ICPC-A0Z,43847,ADI3663P,C,2025-ADN-06-G278,CANISTER,N,6,1,,,CZ0141
