lot,start_year,start_week,start_day,assyin_entity_code,original_entity_code,package_type,cust_assy_lot,start_date,flowtype,order_type,cust_code,package_code,product_no,original_start_qty,bom_no,bom_rev,last_oper,assy_pack_type,automotive_flag,wafer_size,die_used,size_type,cancel_flag,compound_stock
ADNPS7872.1,2025,18,7,140,140,QFN,6931232.1,5/3/2025 19:00,B-A,P,ADI,TD-200E200B006K,LT6656B-2048ICPC-A0Z,30377,ADI5310P,A,2025-ADN-05-G183,CANISTER,N,6,1,,,CZ0141
A5PPS0905.2,2025,21,2,140,140,QFN,6953872.1,5/19/2025 19:00,B-A,P,ADI,TD-200E200B006K,LTC2450-1ICPC-A0Z,56095,ADI5280P,B,MLASER-T,CANISTER,N,6,1,,,CZ0141
A5PPS0905.1,2025,21,2,140,140,QFN,6953872.1,5/19/2025 19:00,B-A,P,ADI,TD-200E200B006K,LTC2450-1ICPC-A0Z,49400,ADI5280P,B,MLASER-T,CANISTER,N,6,1,,,CZ0141
A5PPS0935.2,2025,21,5,140,140,QFN,6953871.1,5/22/2025 19:00,B-A,P,ADI,TD-200E200B006K,LTC2450ICPC-A0Z,32954,ADI4971P,A,2/OPT-100%,CANISTER,N,6,1,,,CZ0141
A5PPS0935.1,2025,21,5,140,140,QFN,6953871.1,5/22/2025 19:00,B-A,P,ADI,TD-200E200B006K,LTC2450ICPC-A0Z,49400,ADI4971P,A,2/OPT-100%,CANISTER,N,6,1,,,CZ0141
ADNPS7795.1,2025,19,1,140,140,QFN,6939776.1,5/3/2025 20:00,B-A,P,ADI,TD-200E200B006K,LTC3025-1ECPC-A0Z,68685,ADI4970P,A,2025-ADN-05-G188,CANISTER,N,6,1,,,CZ0141
ADNPS8891.1,2025,21,1,140,140,QFN,6953853.1,5/17/2025 20:00,B-A,P,ADI,TD-200E200B006K,LTC3025-1ECPC-A0Z,49400,ADI4970P,A,MATT-TIN,CANISTER,N,6,1,,,CZ0141
ADNPS8891.2,2025,21,1,140,140,QFN,6953853.1,5/17/2025 20:00,B-A,P,ADI,TD-200E200B006K,LTC3025-1ECPC-A0Z,53824,ADI4970P,A,SINGULATE,CANISTER,N,6,1,,,CZ0141
ADNPS8892.1,2025,20,7,140,140,QFN,6953854.1,5/17/2025 19:00,B-A,P,ADI,TD-200E200B006K,LTC3025-1ECPC-A0Z,68712,ADI4970P,A,MLASER-T,CANISTER,N,6,1,,,CZ0141
ADNPS7999.1,2025,19,2,140,140,QFN,6939775.1,5/5/2025 19:00,B-A,P,ADI,TD-200E200B006K,LTC3025ECPC-A0Z,52939,ADI5124P,A,2025-ADN-05-G196,CANISTER,N,6,1,,,CZ0141
ADNPS7785.1,2025,18,7,140,140,QFN,6931287.1,5/3/2025 19:00,B-A,P,ADI,TD-200E200B006K,LTC3025ICPC-A0Z,17775,ADI5124P,A,2025-ADN-05-G196,CANISTER,N,6,1,,,CZ0141
ADNPS8372.1,2025,19,7,140,140,QFN,6942003.1,5/10/2025 19:00,B-A,P,ADI,TD-200E200B006K,LTC3221ECPC-A0Z,16058,ADI5138P,B,2025-ADN-05-G363,CANISTER,N,6,1,,,CZ0141
ADNPS9578.1,2025,22,2,140,140,QFN,6963133.1,5/26/2025 19:00,B-A,P,ADI,TD-200E200B006K,LTC3427ECPC-A0Z,16708,ADI5119P,B,XFER-GRIND,CANISTER,N,6,1,,,CZ0141
ADNPS8036.1,2025,19,3,140,140,QFN,6939761.1,5/6/2025 19:00,B-A,P,ADI,TD-200E200B006K,LTC3526LECPC-A0Z,51821,ADI5016P,B,2025-ADN-05-G248,CANISTER,N,6,1,,,CZ0141
ADNPS9541.1,2025,22,2,140,140,QFN,6963134.1,5/26/2025 19:00,B-A,P,ADI,TD-200E200B006K,LTC3526LECPC-A0Z,51807,ADI5016P,B,OCR,CANISTER,N,6,1,,,CZ0141
ADNPS9222.1,2025,21,4,140,140,QFN,6946941.1,5/21/2025 19:00,B-A,P,ADI,TD-200E200B006K,LTC3542ECPC-A0Z,16812,ADI5083P,A,SEAL-GREEN,CANISTER,N,6,1,,,CZ0141
ADNPS8369.1,2025,19,7,140,140,QFN,6942704.1,5/10/2025 19:00,B-A,P,ADI,TD-200E200B006K,LTC4065ECPC-A0Z,16807,ADI5096P,B,2025-ADN-05-G291,CANISTER,N,6,1,,,CZ0141
ADNPS8144.2,2025,19,4,140,140,QFN,6939682.1,5/7/2025 19:00,B-A,P,ADI,TD-200E200B006K,LTC4440A-5ICPC-A0Z,58246,ADI6491P,A,2025-ADN-05-G291,CANISTER,N,6,1,32.00 X 58.00,,CZ0141
ADNPS8144.1,2025,19,4,140,140,QFN,6939682.1,5/7/2025 19:00,B-A,P,ADI,TD-200E200B006K,LTC4440A-5ICPC-A0Z,49400,ADI6491P,A,2025-ADN-05-G291,CANISTER,N,6,1,32.00 X 58.00,,CZ0141
ADNPS9061.1,2025,21,3,140,140,QFN,6947003.1,5/20/2025 19:00,B-A,P,ADI,TD-200E200B006K,LTC4440A-5ICPC-A0Z,58488,ADI6491P,A,W/B-ROV,CANISTER,N,6,1,,,CZ0141
ADNPS9062.1,2025,21,3,140,140,QFN,6951916.1,5/20/2025 19:00,B-A,P,ADI,TD-200E200B006K,LTC4440A-5ICPC-A0Z,59555,ADI6491P,A,W/B-ROV,CANISTER,N,6,1,,,CZ0141
ADNPS9064.1,2025,21,4,140,140,QFN,6951915.1,5/21/2025 19:00,B-A,P,ADI,TD-200E200B006K,LTC4440A-5ICPC-A0Z,49400,ADI6491P,A,D/A-S/P-MAP-CS1,CANISTER,N,6,1,,,CZ0141
ADNPS9064.2,2025,21,4,140,140,QFN,6951915.1,5/21/2025 19:00,B-A,P,ADI,TD-200E200B006K,LTC4440A-5ICPC-A0Z,44187,ADI6491P,A,D/A-S/P-MAP-CS1,CANISTER,N,6,1,,,CZ0141
ADNPS8167.1,2025,19,4,140,140,QFN,6939681.1,5/7/2025 19:00,B-A,P,ADI,TD-200E200B006K,LTC5532ECPC-A0Z,62375,ADI5022P,A,2025-ADN-05-G248,CANISTER,N,6,1,,,CZ0141
ADNPS9584.1,2025,22,2,140,140,QFN,6957462.1,5/26/2025 19:00,B-A,P,ADI,TD-200E200B006K,LTC6261HCPC-A0Z,23811,ADI5183P,A,XFER-GRIND,CANISTER,N,8,1,,,CZ0141
ADNPS9183.1,2025,21,4,140,140,QFN,6946820.1,5/21/2025 19:00,B-A,P,ADI,TD-200E200M008K,LT3060ECPC-A0Z,24000,ADI3663P,C,POLY-CURE,CANISTER,N,6,1,,,CZ0141
ADNPS8034.1,2025,19,3,140,140,QFN,6939844.1,5/6/2025 19:00,B-A,P,ADI,TD-200E200M008K,LT3502AICPC-A0Z,49400,ADI3649P,B,2025-ADN-05-G232,CANISTER,N,6,1,,,CZ0141
ADNPS8034.2,2025,19,3,140,140,QFN,6939844.1,5/6/2025 19:00,B-A,P,ADI,TD-200E200M008K,LT3502AICPC-A0Z,62105,ADI3649P,B,2025-ADN-05-G232,CANISTER,N,6,1,,,CZ0141
ADNPS8894.1,2025,21,1,140,140,QFN,6946837.1,5/17/2025 20:00,B-A,P,ADI,TD-200E200M008K,LT3502AICPC-A0Z,49400,ADI3649P,B,SEAL-GREEN,CANISTER,N,6,1,,,CZ0141
ADNPS8894.2,2025,21,1,140,140,QFN,6946837.1,5/17/2025 20:00,B-A,P,ADI,TD-200E200M008K,LT3502AICPC-A0Z,31050,ADI3649P,B,SEAL-GREEN,CANISTER,N,6,1,,,CZ0141
ADNPS8218.1,2025,19,5,140,140,QFN,6939843.1,5/8/2025 19:00,B-A,P,ADI,TD-200E200M008K,LT3502ECPC-A0Z,66972,ADI6454P,B,2025-ADN-05-G254,CANISTER,N,6,1,,,CZ0141
ADNPS8478.1,2025,20,2,140,140,QFN,6946875.1,5/12/2025 19:00,B-A,P,ADI,TD-200E200M008K,LT8410ICPC-A0Z,23070,ADI6446P,A,PNP,CANISTER,N,6,1,34.00 X 55.00,,CZ0141
ADNPS9336.1,2025,21,6,140,140,QFN,6953897.1,5/23/2025 19:00,B-A,P,ADI,TD-200E200M008K,LT8607ECPC-A1Z,17559,ADI6354P,B,2/OPT-100%,CANISTER,N,8,1,,,CZ0141
ADNPS9381.1,2025,21,7,140,140,QFN,6953859.1,5/24/2025 19:00,B-A,P,ADI,TD-200E200M008K,LTC2934-1ICPC-A0Z,16972,ADI7050P,A,SAW,CANISTER,N,6,1,,,CZ0141
