lot,start_year,start_week,start_day,assyin_entity_code,original_entity_code,package_type,cust_assy_lot,start_date,flowtype,order_type,cust_code,package_code,product_no,original_start_qty,bom_no,bom_rev,last_oper,assy_pack_type,automotive_flag,wafer_size,die_used,size_type,cancel_flag
A5NER0069.1,2024,44,5,120,120,QFN,6765835.1,10/31/2024 19:00,B-A,E,ADI,GS-30P230016CAN,ADL6346-ABS062789-ENG-1-A,200,ADI1592E,A,MLASER-T,CANISTER,N,8,"1,1","64.2 X 50.4,29.9 X 48.8",
A5NER0070.1,2024,44,5,120,120,QFN,6765836.1,10/31/2024 19:00,B-A,E,ADI,GS-30P230016CAN,ADL6346-ABS062790-ENG-1-A,250,ADI1593E,A,MLASER-T,CANISTER,N,8,"1,1","64.2 X 50.4,29.9 X 48.8",
ADNFRF932.3,2024,40,5,120,120,QFN,6736345.1,10/3/2024 19:00,B-A,F,ADI,GS-50P250032UAN,ADL6337ACRC-A0BZ,10549,ADI6537P,A,2024-ADN-10-G112,TRAY,N,8,"1,1","27.2 X 46.8,109.00 X 61.00",
ADNFRF932.2,2024,40,5,120,120,QFN,6736345.1,10/3/2024 19:00,B-A,F,ADI,GS-50P250032UAN,ADL6337ACRC-A0BZ,10080,ADI6537P,A,2024-ADN-10-G112,TRAY,N,8,"1,1","27.2 X 46.8,109.00 X 61.00",
ADNFRF932.1,2024,40,5,120,120,QFN,6736345.1,10/3/2024 19:00,B-A,F,ADI,GS-50P250032UAN,ADL6337ACRC-A0BZ,10080,ADI6537P,A,2024-ADN-10-G112,TRAY,N,8,"1,1","27.2 X 46.8,109.00 X 61.00",
ADNFRF933.1,2024,40,6,120,120,QFN,6736347.1,10/4/2024 19:00,B-A,F,ADI,GS-50P250032UAN,ADL6337ACRC-A0BZ,10080,ADI6537P,A,2024-ADN-10-G115,TRAY,N,8,"1,1","27.2 X 46.8,109.00 X 61.00",
ADNFRF933.2,2024,40,6,120,120,QFN,6736347.1,10/4/2024 19:00,B-A,F,ADI,GS-50P250032UAN,ADL6337ACRC-A0BZ,11710,ADI6537P,A,2024-ADN-10-G115,TRAY,N,8,"1,1","27.2 X 46.8,109.00 X 61.00",
ADNFRG201.1,2024,41,4,120,120,QFN,6744594.1,10/9/2024 19:00,B-A,F,ADI,GS-50P250032UAN,ADL6337ACRC-A0BZ,10080,ADI6537P,A,2024-ADN-10-G196,TRAY,N,8,"1,1","27.2 X 46.8,109.00 X 61.00",
ADNFRG201.2,2024,41,4,120,120,QFN,6744594.1,10/9/2024 19:00,B-A,F,ADI,GS-50P250032UAN,ADL6337ACRC-A0BZ,10080,ADI6537P,A,2024-ADN-10-G196,TRAY,N,8,"1,1","27.2 X 46.8,109.00 X 61.00",
ADNFRG201.3,2024,41,4,120,120,QFN,6744594.1,10/9/2024 19:00,B-A,F,ADI,GS-50P250032UAN,ADL6337ACRC-A0BZ,11750,ADI6537P,A,2024-ADN-10-G196,TRAY,N,8,"1,1","27.2 X 46.8,109.00 X 61.00",
ADNFRH000.2,2024,43,2,120,120,QFN,6751601.1,10/21/2024 19:00,B-A,F,ADI,GS-50P250032UAN,ADL6337ACRC-A0BZ,10080,ADI6537P,A,2024-ADN-11-G073,TRAY,N,8,"1,1","27.2 X 46.8,109.00 X 61.00",
ADNFRH000.3,2024,43,2,120,120,QFN,6751601.1,10/21/2024 19:00,B-A,F,ADI,GS-50P250032UAN,ADL6337ACRC-A0BZ,10944,ADI6537P,A,2024-ADN-11-G073,TRAY,N,8,"1,1","27.2 X 46.8,109.00 X 61.00",
ADNFRH000.1,2024,43,2,120,120,QFN,6751601.1,10/21/2024 19:00,B-A,F,ADI,GS-50P250032UAN,ADL6337ACRC-A0BZ,10080,ADI6537P,A,2024-ADN-11-G073,TRAY,N,8,"1,1","27.2 X 46.8,109.00 X 61.00",
ADNFRH001.1,2024,43,2,120,120,QFN,6751603.1,10/21/2024 19:00,B-A,F,ADI,GS-50P250032UAN,ADL6337ACRC-A0BZ,10713,ADI6537P,A,2024-ADN-11-G075,TRAY,N,8,"1,1","27.2 X 46.8,109.00 X 61.00",
ADNFRF934.1,2024,40,5,120,120,QFN,6736314.1,10/3/2024 19:00,B-A,F,ADI,GS-50P250032UAN,ADL6337ACRC-A0Z,5905,ADI6527P,A,2024-ADN-10-G112,TRAY,N,8,"1,1","27.2 X 46.8,109.00 X 61.00",
ADNFRF936.2,2024,40,7,120,120,QFN,6736312.1,10/5/2024 19:00,B-A,F,ADI,GS-50P250032UAN,ADL6337ACRC-A0Z,10080,ADI6527P,A,2024-ADN-10-G147,TRAY,N,8,"1,1","27.2 X 46.8,109.00 X 61.00",
ADNFRF936.1,2024,40,7,120,120,QFN,6736312.1,10/5/2024 19:00,B-A,F,ADI,GS-50P250032UAN,ADL6337ACRC-A0Z,10080,ADI6527P,A,2024-ADN-10-G147,TRAY,N,8,"1,1","27.2 X 46.8,109.00 X 61.00",
ADNFRF936.3,2024,40,7,120,120,QFN,6736312.1,10/5/2024 19:00,B-A,F,ADI,GS-50P250032UAN,ADL6337ACRC-A0Z,14956,ADI6527P,A,2024-ADN-10-G147,TRAY,N,8,"1,1","27.2 X 46.8,109.00 X 61.00",
ADNFRF937.1,2024,40,7,120,120,QFN,6736349.1,10/5/2024 19:00,B-A,F,ADI,GS-50P250032UAN,ADL6337ACRC-A0Z,5955,ADI6527P,A,2024-ADN-10-G147,TRAY,N,8,"1,1","27.2 X 46.8,109.00 X 61.00",
ADNFRF938.1,2024,40,7,120,120,QFN,6736351.1,10/5/2024 19:00,B-A,F,ADI,GS-50P250032UAN,ADL6337ACRC-A0Z,5542,ADI6527P,A,2024-ADN-10-G147,TRAY,N,8,"1,1","27.2 X 46.8,109.00 X 61.00",
ADNFRF939.1,2024,40,7,120,120,QFN,6736353.1,10/5/2024 19:00,B-A,F,ADI,GS-50P250032UAN,ADL6337ACRC-A0Z,5992,ADI6527P,A,2024-ADN-10-G115,TRAY,N,8,"1,1","27.2 X 46.8,109.00 X 61.00",
ADNFRG204.1,2024,41,4,120,120,QFN,6744596.1,10/9/2024 19:00,B-A,F,ADI,GS-50P250032UAN,ADL6337ACRC-A0Z,5884,ADI6527P,A,2024-ADN-10-G194,TRAY,N,8,"1,1","27.2 X 46.8,109.00 X 61.00",
ADNFRG960.1,2024,42,7,120,120,QFN,6750580.1,10/19/2024 19:00,B-A,F,ADI,GS-50P250032UAN,ADL6337ACRC-A0Z,10080,ADI6527P,A,PACK-TRAY,TRAY,N,8,"1,1","27.2 X 46.8,109.00 X 61.00",
ADNFRG960.2,2024,42,7,120,120,QFN,6750580.1,10/19/2024 19:00,B-A,F,ADI,GS-50P250032UAN,ADL6337ACRC-A0Z,10080,ADI6527P,A,PNP,TRAY,N,8,"1,1","27.2 X 46.8,109.00 X 61.00",
ADNFRG960.4,2024,42,7,120,120,QFN,6750580.1,10/19/2024 19:00,B-A,F,ADI,GS-50P250032UAN,ADL6337ACRC-A0Z,5562,ADI6527P,A,PACK-TRAY,TRAY,N,8,"1,1","27.2 X 46.8,109.00 X 61.00",
ADNFRG960.3,2024,42,7,120,120,QFN,6750580.1,10/19/2024 19:00,B-A,F,ADI,GS-50P250032UAN,ADL6337ACRC-A0Z,10080,ADI6527P,A,PNP,TRAY,N,8,"1,1","27.2 X 46.8,109.00 X 61.00",
ADNFRG961.1,2024,42,7,120,120,QFN,6750582.1,10/19/2024 19:00,B-A,F,ADI,GS-50P250032UAN,ADL6337ACRC-A0Z,6031,ADI6527P,A,PACK-TRAY,TRAY,N,8,"1,1","27.2 X 46.8,109.00 X 61.00",
ADNFRG962.4,2024,43,1,120,120,QFN,6750578.1,10/19/2024 20:00,B-A,F,ADI,GS-50P250032UAN,ADL6337ACRC-A0Z,5485,ADI6527P,A,Awaiting,TRAY,N,8,"1,1","27.2 X 46.8,109.00 X 61.00",
ADNFRG962.2,2024,43,1,120,120,QFN,6750578.1,10/19/2024 20:00,B-A,F,ADI,GS-50P250032UAN,ADL6337ACRC-A0Z,10080,ADI6527P,A,Awaiting,TRAY,N,8,"1,1","27.2 X 46.8,109.00 X 61.00",
ADNFRG962.1,2024,43,1,120,120,QFN,6750578.1,10/19/2024 20:00,B-A,F,ADI,GS-50P250032UAN,ADL6337ACRC-A0Z,10080,ADI6527P,A,Awaiting,TRAY,N,8,"1,1","27.2 X 46.8,109.00 X 61.00",
ADNFRG962.3,2024,43,1,120,120,QFN,6750578.1,10/19/2024 20:00,B-A,F,ADI,GS-50P250032UAN,ADL6337ACRC-A0Z,10080,ADI6527P,A,Awaiting,TRAY,N,8,"1,1","27.2 X 46.8,109.00 X 61.00",
ADNPRF935.1,2024,40,6,120,120,QFN,6736310.1,10/4/2024 19:00,B-A,P,ADI,GS-50P250032UAN,ADL6337ACRC-A0Z,11896,ADI6527P,A,2024-ADN-10-G142,TRAY,N,8,"1,1","27.2 X 46.8,109.00 X 61.00",
ADCBR0008.1,2024,41,6,120,120,QFN,6750064.1,10/11/2024 19:00,B-A,B,ADI,MQ-700S7001048K,ADRF8820-ABS062401-ENG-1-A,400,ADI1563E,B,2024-ADC-10-G001,TRAY,Y,12,"1,1","57.1 X 91.1,151.3 X 143.7",
ADNFRF895.2,2024,40,5,120,120,QFN,6725960.1,10/3/2024 19:00,B-A,F,ADI,NQ-C00EC00B088U,ADSP1801BCPC-AN300WZ,3990,ADI7799P,A,2024-ADN-11-G057,TRAY,Y,12,1,146.00 X 146.00,
ADNFRF895.1,2024,40,5,120,120,QFN,6725960.1,10/3/2024 19:00,B-A,F,ADI,NQ-C00EC00B088U,ADSP1801BCPC-AN300WZ,3000,ADI7799P,A,2024-ADN-11-G057,TRAY,Y,12,1,146.00 X 146.00,
ADNFRF894.1,2024,40,5,120,120,QFN,6725959.1,10/3/2024 19:00,B-A,F,ADI,NQ-C00EC00B088U,ADSP1801BCPC-AN350WZ,3402,ADI7798P,A,2024-ADN-11-G060,TRAY,Y,12,1,146.00 X 146.00,
